NAME                     PSRJ                     P0                                     P1                               F0                                   F1                                F2                              F3                            T0                                 R_LUM       R_LUM14     AGE      BSURF     P1_I      BSURF_I  B_LC

64    J0103+54      kkl+15     J0103+54      kkl+15     0.354304                 6  kkl+15     *                  0  *          2.82243                5  kkl+15     *                   0  *          *                 0  *          *               0  *          *                    0  *          *           *           *        *         *         *        *
65    J0106+4855    pga+12     J0106+4855    pga+12     0.0831573050050          6  pga+12     4.2792E-16         5  pga+12     12.02540173638         8  pga+12     -0.61881E-13        7  pga+12     *                 0  *          *               0  *          *                    0  *          *           0.08        3.08e+06 1.91e+11  *         *        3.11e+03

66    J0107+1322    scb+19     J0107+1322    scb+19     1.1973833938             1  tbc+20     0.687E-15          3  tbc+20     0.83515439180          7  tbc+20     -4.79E-16           3  tbc+20     *                 0  *          *               0  *          *                    0  *          *           *           2.76e+07 9.18e+11  *         *        5.01e+00
67    J0108-1431    tnj+94     J0108-1431    tnj+94     0.807564614019          20  hlk+04     7.704E-17         12  hlk+04     1.23829100810          3  hlk+04     -1.1813E-16        18  hlk+04     -8.9E-27         77  hlk+04     *               0  *          *                    0  *          0.40        0.06        1.66e+08 2.52e+11  6.51e-17  2.32e+11 4.49e+00
68    B0105+65      dls72      J0108+6608    dls72      1.2836598429             5  hlk+04     1.3051E-14         3  hlk+04     0.7790225779           3  hlk+04     -7.9203E-15        18  hlk+04     3.1E-25           5  hlk+04     *               0  *          *                    0  *          45.27       4.07        1.56e+06 4.14e+12  1.30e-14  4.14e+12 1.84e+01
69    B0105+68      dtws85     J0108+6905    dtws85     1.071118109859           5  hlk+04     4.809E-17          4  hlk+04     0.933603858245         4  hlk+04     -4.192E-17          3  hlk+04     -7.8E-28         63  hlk+04     *               0  *          *                    0  *          14.52       1.57        3.53e+08 2.3e+11   *         *        1.75e+00
70    J0111+6624    slr+14     J0111+6624    slr+14     4.3018721008             4  lsk+18     8.36E-15          17  lsk+18     0.23245693423          2  lsk+18     -4.52E-16           9  lsk+18     *                 0  *          *               0  *          *                    0  *          *           *           8.15e+06 6.07e+12  *         *        7.15e-01

71    J0111-7131    mfl+06     J0111-7131    mfl+06     0.68854151164            5  mfl+06     7.092E-15          4  mfl+06     1.45234525892         11  mfl+06     -1.4959E-14         9  mfl+06     *                 0  *          *               0  *          *                    0  *          *           213.85      1.54e+06 2.24e+12  *         *        6.42e+01
72    J0113-7220    ckm+01     J0113-7220    ckm+01     0.32588301613            1  ckm+01     4.8590E-15        15  ckm+01     3.06858581302         10  ckm+01     -4.5753E-14        15  ckm+01     *                 0  *          *               0  *          *                    0  *          *           1425.64     1.06e+06 1.27e+12  *         *        3.45e+02
73    J0115+6325    scb+19     J0115+6325    scb+19     0.521455427473           5  mbc+20     1.599E-15          3  mbc+20     1.917709448046        19  mbc+20     -5.880E-15         12  mbc+20     *                 0  *          *               0  *          *                    0  *          *           *           5.17e+06 9.24e+11  *         *        6.11e+01
74    B0114+58      stwd85     J0117+5914    stwd85     0.1014390664824         20  hlk+04     5.849955E-15      17  hlk+04     9.85813488508         19  hlk+04     -5.685151E-13      16  hlk+04     -3.38E-24         4  hlk+04     *               0  *          *                    0  *          23.76       0.94        2.75e+05 7.8e+11   5.85e-15  7.80e+11 7.00e+03
75    J0122+1416    ttk+17     J0122+1416    ttk+17     1.38899395038            2  mbc+20     3.803E-15          1  mbc+20     0.719945540243        11  mbc+20     -1.9712E-15         6  mbc+20     *                 0  *          *               0  *          *                    0  *          *           *           5.79e+06 2.33e+12  *         *        8.14e+00

76    J0125-23      mbc+19     J0125-23      mbc+19     0.00367586               0  mbc+19     *                  0  *            272.045181           0  mbc+19     *                   0  *          *                 0  *          *               0  *          *                    0  *          *           *           *        *         *         *        *
77    J0125+62      slr+14     J0125+62      slr+14     1.708233                98  slr+14     *                  0  *          0.58540                4  slr+14     *                   0  *          *                 0  *          *               0  *          *                    0  *          19.63       *           *        *         *         *        *
78    J0131-7310    mfl+06     J0131-7310    mfl+06     0.348124045581           7  mfl+06     1.7614E-15         7  mfl+06     2.87253929366          6  mfl+06     -1.4534E-14         6  mfl+06     *                 0  *          *               0  *          *                    0  *          *           534.61      3.13e+06 7.92e+11  *         *        1.76e+02
79    J0133-6957    lml+98     J0133-6957    lml+98     0.463473741703           3  dsb+98     1.200E-16          2  dsb+98     2.157619537033        14  dsb+98     -5.586E-16         10  dsb+98     *                 0  *          *               0  *          *                    0  *          29.79       *           6.12e+07 2.39e+11  *         *        2.25e+01
80    J0134-2937    mld+96     J0134-2937    mld+96     0.136961610513651       14  lwy+16     7.83699E-17        3  lwy+16     7.3013160129300        7  lwy+16     -0.4177838E-14     14  lwy+16     *                 0  *          *               0  *          *                    0  *          5625.00     2437.50     2.77e+07 1.05e+11  7.53e-17  1.03e+11 3.83e+02

81    J0137+1654    lxf+05     J0137+1654    lxf+05     0.4147630265082          5  lxf+05     0.01223E-15        3  lxf+05     2.411015293284         3  lxf+05     -7.109E-17         18  lxf+05     *                 0  *          *               0  *          *                    0  *          13.12       *           5.37e+08 7.21e+10  *         *        9.47e+00
82    J0137+6349    slr+14     J0137+6349    slr+14     0.717962726847           6  lsk+18     9.60E-16           5  lsk+18     1.39282996541          1  lsk+18     -1.862E-15          9  lsk+18     *                 0  *          *               0  *          *                    0  *          *           *           1.19e+07 8.4e+11   *         *        2.13e+01
83    J0139+3336    ttm+18     J0139+3336    ttm+18     1.2479609557             1  mbc+20     2.064E-15          8  mbc+20     0.80130712057          7  mbc+20     -1.325E-15          6  mbc+20     *                 0  *          *               0  *          *                    0  *          *           *           9.58e+06 1.62e+12  *         *        7.83e+00
84    J0139+5621    cvh+14     J0139+5621    cvh+14     1.77534382596           10  cvh+14     7.9096E-14         3  cvh+14     0.56327117338          3  cvh+14     -2.50951E-14        8  cvh+14     *                 0  *          *               0  *          *                    0  *          4.07        0.12        3.56e+05 1.2e+13   *         *        2.01e+01
85    B0136+57      dth78      J0139+5814    dth78      0.272450630950          15  hlk+04     1.071167E-14      12  hlk+04     3.67038973818         20  hlk+04     -1.443051E-13      15  hlk+04     *                 0  *          *               0  *          *                    0  *          189.28      31.10       4.03e+05 1.73e+12  1.07e-14  1.73e+12 8.01e+02

86    B0138+59      mth72      J0141+6009    mth72      1.2229485205457         18  hlk+04     3.91070E-16       14  hlk+04     0.8176959072274       12  hlk+04     -2.61480E-16        9  hlk+04     2.7E-28          16  hlk+04     *               0  *          *                    0  *          259.21      23.80       4.95e+07 7e+11     *         *        3.59e+00
87    J0141+63      slr+14     J0141+63      slr+14     0.04668588              49  slr+14     *                  0  *          21.4198                3  slr+14     *                   0  *          *                 0  *          *               0  *          *                    0  *          99.87       *           *        *         *         *        *
88    J0146+31      ttol16     J0146+31      ttol16     0.9381                   0  ttol16     *                  0  *              1.065984           0  ttol16     *                   0  *          *                 0  *          *               0  *          *                    0  *          *           *           *        *         *         *        *
89    J0146+6145    ims94      J0146+6145    ims94      8.6889941                4  dk14       1.99E-12           5  dk14       0.115088121            5  dk14       -2.64E-14           6  dk14       *                 0  *          *               0  *          *                    0  *          *           *           6.91e+04 1.33e+14  1.99e-12  1.33e+14 1.90e+00
90    B0144+59      stwd85     J0147+5922    stwd85     0.19632137543003        16  ywml10     2.56763E-16        8  ywml10     5.093688844679         4  ywml10     -6.6619E-15         2  ywml10     3.39E-26         12  hlk+04     *               0  *          *                    0  *          29.88       9.51        1.21e+07 2.27e+11  2.57e-16  2.27e+11 2.81e+02

91    B0148-06      mlt+78     J0151-0635    mlt+78     1.464664549334           7  hlk+04     4.4259E-16         5  hlk+04     0.682750190448         3  hlk+04     -2.06313E-16       19  hlk+04     *                 0  *          *               0  *          *                    0  *          23750.00    1000.00     5.24e+07 8.15e+11  4.30e-16  8.03e+11 2.43e+00
92    J0152+0948    clm+05     J0152+0948    clm+05     2.74664729014           10  clm+05     1.700E-15          4  clm+05     0.364080238329        14  clm+05     -2.253E-16          6  clm+05     *                 0  *          *               0  *          *                    0  *          5.58        *           2.56e+07 2.19e+12  *         *        9.89e-01
93    B0149-16      mlt+78     J0152-1637    mlt+78     0.8327416126878         13  hlk+04     1.299202E-15       6  hlk+04     1.2008526831899       18  hlk+04     -1.873510E-15       8  hlk+04     -4.98E-27        12  hlk+04     *               0  *          *                    0  *          16.93       1.78        1.02e+07 1.05e+12  1.30e-15  1.05e+12 1.71e+01
94    J0154+1833    mgf+19     J0154+1833    mgf+19     0.0023645697763006       5  mgf+19     2.919E-21         12  mgf+19     422.90991368608        8  mgf+19     -0.522E-15          2  mgf+19     *                 0  *          *               0  *          *                    0  *          *           *           1.28e+10 8.41e+07  1.19e-21  5.37e+07 5.96e+04
95    J0156+04      dsm+16     J0156+04      dsm+16     *                        0  *          *                  0  *          *                      0  *          *                   0  *          *                 0  *          *               0  *          *                    0  *          *           *           *        *         *         *        *

96    B0153+39      dtws85     J0156+3949    dtws85     1.81156061131           10  hlk+04     1.516E-16         10  hlk+04     0.55201023568          3  hlk+04     -4.62E-17           3  hlk+04     1.3E-27          37  hlk+04     *               0  *          *                    0  *          96.67       *           1.89e+08 5.3e+11   *         *        8.36e-01
97    B0154+61      dls72      J0157+6212    dls72      2.35174493646            7  hlk+04     1.889254E-13       5  hlk+04     0.425216180759        11  hlk+04     -3.415937E-14       9  hlk+04     *                 0  *          *               0  *          *                    0  *          20.73       6.06        1.97e+05 2.13e+13  1.89e-13  2.13e+13 1.54e+01
98    J0158+21      dsm+13     J0158+21      dsm+13     0.5053                   0  dsm+13     *                  0  *              1.979022           0  dsm+13     *                   0  *          *                 0  *          *               0  *          *                    0  *          *           *           *        *         *         *        *
99    J0201+7005    kkl+15     J0201+7005    kkl+15     1.349184471846          10  kkl+15     5.5144E-15        15  kkl+15     0.741188488948         5  kkl+15     -3.0294E-15         8  kkl+15     *                 0  *          *               0  *          *                    0  *          *           *           3.88e+06 2.76e+12  *         *        1.05e+01
100   J0205+6449    mss+02     J0205+6449    mss+02     0.06571592849324         9  lrc+09     1.93754256E-13     4  lrc+09     15.21701089718         2  lrc+09     -4.48652358E-11     9  lrc+09     5.85153E-21       5  lrc+09     *               0  *          *                    0  *          *           0.46        5.37e+03 3.61e+12  1.94e-13  3.61e+12 1.19e+05

